Concentration,Time,Rate,Type
4 uM,0 - 0.5,0.140135236,Intracellular
4 uM,0.5 - 1,0.254062273,Intracellular
4 uM,1 - 5,0.226512819,Intracellular
4 uM,0 - 0.5,0.204331282,Total
4 uM,0.5 - 1,0.667796572,Total
4 uM,1 - 5,0.325299415,Total
4 uM,0 - 0.5,0.064196046,Oxidized
4 uM,0.5 - 1,0.4137343,Oxidized
4 uM,1 - 5,0.098786595,Oxidized
