Concentration,Time,Rate,Type
4 uM,0 - 5,0.19287525,Intracellular
4 uM,5 - 10,0.168389688,Intracellular
4 uM,10 - 20,0.134885406,Intracellular
4 uM,20 - 40,0.204204896,Intracellular
4 uM,0 - 5,0.450799331,Total
4 uM,5 - 10,0.487698649,Total
4 uM,10 - 20,0.481719047,Total
4 uM,20 - 40,0.529106815,Total
4 uM,0 - 5,0.25792425,Oxidized
4 uM,5 - 10,0.31930875,Oxidized
4 uM,10 - 20,0.346833662,Oxidized
4 uM,20 - 40,0.324901919,Oxidized
