Concentration,Time,Rate,Type
4 uM,0 - 5,1.181264271,Intracellular
4 uM,5 - 10,0.306790832,Intracellular
4 uM,10 - 20,-0.037474066,Intracellular
4 uM,20 - 40,-0.011990865,Intracellular
4 uM,0 - 5,1.763789333,Total
4 uM,5 - 10,0.487158575,Total
4 uM,10 - 20,0.169902629,Total
4 uM,20 - 40,-0.015190231,Total
4 uM,0 - 5,0.3932046,Oxidized
4 uM,5 - 10,0.3696876,Oxidized
4 uM,10 - 20,0.2073762,Oxidized
4 uM,20 - 40,-0.00319905,Oxidized
