Concentration,Time,Rate,Type
4 uM,0 - 0.5,2.27612733,Intracellular
4 uM,0.5 - 1,2.220485518,Intracellular
4 uM,1 - 5,4.262548507,Intracellular
4 uM,5 - 10,2.882494384,Intracellular
4 uM,0 - 0.5,3.289495382,Total
4 uM,0.5 - 1,6.335389794,Total
4 uM,1 - 5,11.66689677,Total
4 uM,5 - 10,11.34421807,Total
4 uM,0 - 0.5,1.013364,Oxidized
4 uM,0.5 - 1,4.114908,Oxidized
4 uM,1 - 5,7.4043495,Oxidized
4 uM,5 - 10,8.4617226,Oxidized
