Concentration,Time,Rate,Type
4 uM,0 - 5,10.37753724,Intracellular
4 uM,5 - 8,7.270230627,Intracellular
4 uM,8 - 20,4.021136344,Intracellular
4 uM,20 - 40,1.181828335,Intracellular
4 uM,0 - 5,12.20372976,Total
4 uM,5 - 8,11.74018651,Total
4 uM,8 - 20,11.52936297,Total
4 uM,20 - 40,16.85946429,Total
4 uM,0 - 5,1.826192518,Oxidized
4 uM,5 - 8,4.46995589,Oxidized
4 uM,8 - 20,7.50822662,Oxidized
4 uM,20 - 40,15.67763596,Oxidized
