Concentration,Time,Rate,Type
4 uM,0 - 0.5,0.137787058,Intracellular
4 uM,0.5 - 1,0.191475745,Intracellular
4 uM,1 - 5,0.194995173,Intracellular
4 uM,5 - 10,0.202254324,Intracellular
4 uM,0 - 0.5,0.615358294,Total
4 uM,0.5 - 1,0.455822117,Total
4 uM,1 - 5,0.544306713,Total
4 uM,5 - 10,0.50742228,Total
4 uM,0 - 0.5,0.4775625,Oxidized
4 uM,0.5 - 1,0.26436375,Oxidized
4 uM,1 - 5,0.349308281,Oxidized
4 uM,5 - 10,0.305170875,Oxidized
